Provider_Number,Network,Facility_Name,Five_Star_Date,Five_Star,Five_Star_Data_Availability_Code,Address_Line_1,Address_Line_2,City,State,Zip,County,Profit_or_NonProfit,Chain_Owned,Chain_Organization,#_of_Dialysis_Stations,Offers_in-center_hemodialysis,Offers_peritoneal_dialysis,Offers_home_hemodialysis_training,Patient_Transfusion_category_text,Number_of_patients_included_in_the_transfusion_summary,Number_of_patients_in_hypercalcemia_summary,Number_of_patient-months_in_hypercalcemia_summary,Number_of_patients_in_Serum_phosphorus_summary,Number_of_patient-months_in_Serum_phosphorus_summary_,Patient_hospitalization_category_text,Patient_Hospital_Readmission_Category,Patient_Survival_Category_Text,patients_included_hospitalization_summary,hospitalizations_in_hospital_readmission_summary,Number_of_Patients_included_in_survival_summary,Mortality_Rate_(Facility),Readmission_Rate_(Facility),Hospitalization_Rate_(Facility),Patient_Infection_category_text,Transfusion_Rate_(Facility),Fistula_Category_Text,Number_of_Patients_included_in_fistula_summary,Fistula_Rate_(Facility),Number_of_patients_in_long_term_catheter_summary,Number_of_patient_months_in_long_term_catheter_summary,Number_of_patients_in_nPCR_summary,Number_of_patient-months_in_nPCR_summary,SWR_category_text,Number_of_patients_in_this_facility_for_SWR,PPPW_category_text,Number_of_patients_for_PPPW
392705,4,DAVITA MT POCONO DIALYSIS,01/01/2016-12/31/2019,3,1,"100 COMMUNITY DRIVE, SUITE 106",,TOBYHANNA,PA,18466,MONROE,Profit,Yes,DAVITA,12,1,1,0,As Expected,30,50,397,48,400,As Expected,As Expected,As Expected,38,47,204,26,17.2,202.8,As Expected,21.2,As Expected,48,72.2,48,419,0,,Not Available,18,As Expected,38
392706,4,DAVITA PDI - EPHRATA,01/01/2016-12/31/2019,5,1,67 WEST CHURCH STREET,,STEVENS,PA,17578,LANCASTER,Profit,Yes,DAVITA,16,1,0,0,As Expected,54,82,731,84,770,As Expected,As Expected,As Expected,68,84,265,22.4,26.2,179.6,As Expected,11.9,As Expected,68,72.9,68,604,0,,As Expected,25,As Expected,56
382576,16,ROSE CITY DIALYSIS LLC,01/01/2016-12/31/2019,5,1,8050 SW WARM SPRINGS ST STE 120,,TUALATIN,OR,97062,WASHINGTON,Profit,Yes,FRESENIUS MEDICAL CARE,0,0,1,0,As Expected,31,59,497,58,515,As Expected,As Expected,As Expected,36,22,76,24.2,18.5,123.5,Not Available,0,Not Available,0,,0,,0,,Not Available,21,Better than Expected,60
382577,16,DAVITA LANCASTER DRIVE DIALYSIS,01/01/2016-12/31/2019,5,1,421 LANCASTER DR NE,,SALEM,OR,97301,MARION,Profit,Yes,DAVITA,25,1,1,1,As Expected,73,115,998,122,1077,As Expected,As Expected,As Expected,78,76,135,19.8,20.7,149.2,As Expected,13.2,As Expected,92,63.7,92,794,0,,Not Available,18,As Expected,96
382578,16,DAVITA GRESHAM STATION DIALYSIS,01/01/2016-12/31/2019,5,1,878 NW BURNSIDE RD,,GRESHAM,OR,97030,MULTNOMAH,Profit,Yes,DAVITA,17,1,1,0,As Expected,30,43,382,44,373,As Expected,As Expected,As Expected,33,31,59,11.4,24.7,185,As Expected,7,As Expected,30,61.2,30,271,0,,Not Available,5,As Expected,33
392605,4,FRESENIUS KIDNEY CARE - TEMPLE DIALYSIS ONTARIO,01/01/2016-12/31/2019,2,1,"3401 FOX STREET, BUILDING 5",SUITE A,PHILADELPHIA,PA,19129,PHILADELPHIA,Profit,Yes,FRESENIUS MEDICAL CARE,32,1,1,0,As Expected,57,107,1050,107,1057,As Expected,As Expected,As Expected,67,102,364,22.3,36.1,246.8,As Expected,9.5,As Expected,104,48.1,104,992,0,,As Expected,32,As Expected,94
392606,4,DAVITA POCONO DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,"447 OFFICE PLAZA, BUILDING 100, SUITE B",,EAST STROUDSBURG,PA,18301,MONROE,Profit,Yes,DAVITA,16,1,1,0,As Expected,52,70,571,72,565,As Expected,As Expected,As Expected,63,91,284,26.8,32.5,226.3,As Expected,30.1,As Expected,74,69.4,74,595,0,,As Expected,25,As Expected,67
392609,4,DAVITA PDI-LANCASTER,01/01/2016-12/31/2019,5,1,1412 EAST KING STREET,,LANCASTER,PA,17602,LANCASTER,Profit,Yes,DAVITA,17,1,0,0,As Expected,62,96,880,99,908,As Expected,As Expected,As Expected,71,66,307,16.2,24.2,144.1,As Expected,0,As Expected,97,74,97,901,0,,Not Available,15,As Expected,80
372605,13,DAVITA PAULS VALLEY DIALYSIS,01/01/2016-12/31/2019,5,1,2410 W. GRANT AVE,,PAULS VALLEY,OK,73075,GARVIN,Profit,Yes,DAVITA,12,1,0,0,As Expected,27,41,317,43,333,As Expected,As Expected,As Expected,36,31,73,25,19.8,177.5,As Expected,13.6,As Expected,43,81.6,43,335,0,,Not Available,13,As Expected,30
372606,13,DAVITA WAGONER DIALYSIS,01/01/2016-12/31/2019,5,1,402 S WALL STREET,,WAGONER,OK,74467,WAGONER,Profit,Yes,DAVITA,13,1,1,0,As Expected,39,53,467,58,488,As Expected,As Expected,As Expected,49,66,97,20,27.1,216.4,As Expected,13.6,As Expected,30,74.4,30,239,0,,Not Available,12,As Expected,54
372607,13,DAVITA DT4 DIALYSIS,01/01/2016-12/31/2019,2,1,4800 WEST SAN ANTONIO STREET,,BROKEN ARROW,OK,74012,TULSA,Profit,Yes,DAVITA,4,1,0,0,Not Available,7,12,62,13,69,Not Available,As Expected,Not Available,10,12,14,,38.9,,Not Available,,As Expected,11,32.5,11,69,0,,Not Available,1,Not Available,10
372608,13,DAVITA GARFIELD COUNTY DIALYSIS,01/01/2016-12/31/2019,,260,204 S VANBUREN ST,STE A,ENID,OK,73703,GARFIELD,Profit,Yes,DAVITA,13,1,1,0,Not Available,4,7,49,9,56,Not Available,As Expected,Not Available,6,12,12,,35.9,,Not Available,,Not Available,9,,9,56,0,,Not Available,0,Not Available,8
372609,13,FKC - MOORE,01/01/2016-12/31/2019,3,1,450 N EASTERN AVE,,OKLAHOMA CITY,OK,73160,,Profit,Yes,FRESENIUS MEDICAL CARE,17,1,1,1,Not Available,30,50,315,60,371,As Expected,As Expected,As Expected,40,58,43,19.4,34.2,282.4,Better than Expected,,As Expected,49,61.2,49,297,0,,Not Available,8,As Expected,47
392508,4,DAVITA UPLAND DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,"PROFESSIONAL OFFICE BUILDING 2, SUITE 120",ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,Profit,Yes,DAVITA,45,1,1,0,As Expected,95,147,1380,153,1421,As Expected,As Expected,As Expected,106,91,473,22.2,26.2,127.1,As Expected,8,As Expected,152,50.7,152,1425,0,,As Expected,47,As Expected,126
332713,2,FMS-FREEDOM CENTER OF BUFFALO,01/01/2016-12/31/2019,,260,52 SOUTH UNION ROAD,,WILLIAMSVILLE,NY,14221,ERIE,Profit,Yes,FRESENIUS MEDICAL CARE,0,0,1,1,Not Available,21,30,232,31,234,As Expected,As Expected,As Expected,23,32,70,29.5,32.7,319.3,Not Available,,Not Available,2,,2,10,0,,Not Available,9,As Expected,30
332714,2,ROGOSIN WEST SIDE,01/01/2016-12/31/2019,4,1,619 WEST 54TH STREET,,NEW YORK,NY,10019,NEW YORK,Non-Profit,No,INDEPENDENT,28,1,1,1,As Expected,101,179,1527,181,1602,As Expected,As Expected,Better than Expected,124,120,367,15.4,27.2,169.4,Better than Expected,25.8,As Expected,155,62,155,1352,0,,Better than Expected,67,Better than Expected,137
332715,2,HASTINGS HEMODIALYSIS CENTER,01/01/2016-12/31/2019,5,1,20 FOURTH STREET,,MALONE,NY,12953,FRANKLIN,Non-Profit,Yes,AMERICAN RENAL ASSOCIATES,11,1,0,0,Not Available,13,43,362,46,372,As Expected,Better than Expected,As Expected,40,29,143,19.6,9.5,122.2,As Expected,,As Expected,45,71.9,45,381,0,,Not Available,20,As Expected,30
332716,2,PROSPECT PARK DIALYSIS,01/01/2016-12/31/2019,2,1,672 PARKSIDE AVENUE,,BROOKLYN,NY,11226,KINGS,Profit,No,INDEPENDENT,32,1,0,0,As Expected,119,194,1871,193,1790,As Expected,As Expected,As Expected,131,130,514,24.1,25.1,174.8,Better than Expected,25.7,As Expected,198,63.3,198,1934,0,,As Expected,93,Better than Expected,161
332717,2,MASSENA DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,290 MAIN STREET,,MASSENA,NY,13662,SAINT LAWRENCE,Profit,Yes,AMERICAN RENAL ASSOCIATES,10,1,1,0,As Expected,22,42,427,43,452,As Expected,As Expected,As Expected,34,34,135,15.9,10.2,113.5,As Expected,5.8,As Expected,42,73.7,42,441,1,9,Not Available,11,As Expected,27
392807,4,"FRESENIUS KIDNEY CARE - SHARON HILL, LLC",01/01/2016-12/31/2019,3,1,700 CHESTER PIKE,,SHARON HILL,PA,19079,DELAWARE,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,1,0,As Expected,56,89,755,94,795,As Expected,As Expected,As Expected,69,67,245,20.2,38.1,217.5,As Expected,13.4,As Expected,90,64,90,770,0,,As Expected,31,As Expected,82
392808,4,DAVITA BETHEL PARK DIALYSIS,01/01/2016-12/31/2019,4,1,6000 ALICIA DRIVE,,BETHEL PARK,PA,15102,ALLEGHENY,Profit,Yes,DAVITA,4,1,0,0,Not Available,9,18,141,19,146,As Expected,Not Available,As Expected,13,9,64,24.8,,167.6,As Expected,,As Expected,19,62.7,19,145,0,,Not Available,8,Not Available,6
392809,4,DAVITA CITY LINE DIALYSIS,01/01/2016-12/31/2019,5,1,4508 CITY LINE AVE.,,PHILADELPHIA,PA,19131,PHILADELPHIA,Profit,Yes,DAVITA,17,1,0,0,As Expected,36,77,718,78,747,As Expected,As Expected,As Expected,51,67,171,14.9,25.5,182.2,As Expected,0,As Expected,79,51.7,79,749,0,,As Expected,29,Better than Expected,66
392810,4,DAVITA CHELTENHAM DIALYSIS,01/01/2016-12/31/2019,3,1,133 CHELTENHAM AVENUE,,CHELTENHAM,PA,19012,MONTGOMERY,Profit,Yes,DAVITA,21,1,1,0,As Expected,54,88,822,95,829,As Expected,As Expected,As Expected,69,66,303,27.7,35,208.7,As Expected,10.9,As Expected,88,64.5,88,805,0,,As Expected,39,Better than Expected,76
392811,4,DAVITA MONTAGE AT HOME DIALYSIS,01/01/2016-12/31/2019,,260,3409 BIRNEY AVENUE,,MOOSIC,PA,18507,LACKAWANNA,Profit,Yes,DAVITA,0,0,1,1,Not Available,18,44,282,45,307,As Expected,As Expected,As Expected,26,28,135,35.1,19.7,226.8,Not Available,,Not Available,5,,5,26,0,,Not Available,9,As Expected,46
392813,4,DAVITA PROVIDENCE SQUARE HOME TRAINING,01/01/2016-12/31/2019,3,1,831 PROVIDENCE RD.,,SECANE,PA,19018,DELAWARE,Profit,Yes,DAVITA,1,0,1,1,As Expected,34,56,481,57,494,As Expected,As Expected,Worse than Expected,41,42,153,40.1,27.3,271,Not Available,24.7,As Expected,15,79.7,15,127,0,,As Expected,32,As Expected,60
392610,4,"DCI RENAL SERVICES OF PITTSBURGH, LLC - OAKLAND",01/01/2016-12/31/2019,2,1,3260 FIFTH AVENUE,,PITTSBURGH,PA,15213,ALLEGHENY,Profit,Yes,"DIALYSIS CLINIC, INC.",30,1,1,1,As Expected,68,120,1060,129,1107,As Expected,As Expected,Better than Expected,88,116,375,16.6,25,207.4,Worse than Expected,17.9,As Expected,89,62.5,89,813,0,,As Expected,37,As Expected,113
392612,4,"USRC BEDFORD, LLC",01/01/2016-12/31/2019,3,1,141 MEMORIAL DRIVE,,EVERETT,PA,15537,BEDFORD,Profit,Yes,"US RENAL CARE, INC.",11,1,1,1,As Expected,50,67,520,75,566,As Expected,As Expected,As Expected,58,68,214,28.8,17.8,219.3,Better than Expected,45.5,As Expected,67,69,67,499,0,,As Expected,28,As Expected,40
392613,4,DAVITA NORTHUMBERLAND DIALYSIS,01/01/2016-12/31/2019,5,1,103 WEST STATE ROUTE 61,,MOUNT CARMEL,PA,17851,NORTHUMBERLAND,Profit,Yes,DAVITA,13,1,0,0,As Expected,44,62,570,67,595,As Expected,As Expected,As Expected,51,56,221,17,23.6,166.3,As Expected,34,As Expected,67,76.9,67,593,0,,Not Available,22,As Expected,50
392729,4,DAVITA SCRANTON DIALYSIS,01/01/2016-12/31/2019,5,1,REAR 475 MORGAN HIGHWAY,,SCRANTON,PA,18508,LACKAWANNA,Profit,Yes,DAVITA,14,1,0,0,As Expected,33,67,535,68,567,As Expected,As Expected,As Expected,45,42,220,25.9,18.7,127,Better than Expected,4.4,As Expected,68,72.2,68,569,0,,Not Available,31,As Expected,28
392731,4,U.S. RENAL CARE - YORK,01/01/2016-12/31/2019,3,1,1975 KENNETH ROAD,,YORK,PA,17408,YORK,Profit,Yes,"US RENAL CARE, INC.",24,1,1,1,As Expected,96,140,1252,144,1279,As Expected,As Expected,As Expected,111,159,484,24.8,27.5,220.8,As Expected,10.7,As Expected,126,52,126,1066,0,,As Expected,48,As Expected,116
392632,4,FRESENIUS KIDNEY CARE - PENN HILLS,01/01/2016-12/31/2019,4,1,11624 KELEKET DRIVE,,PITTSBURGH,PA,15235,ALLEGHENY,Profit,Yes,FRESENIUS MEDICAL CARE,13,1,1,1,As Expected,24,43,389,44,405,As Expected,As Expected,As Expected,33,42,159,20.1,16,176.3,As Expected,27.5,As Expected,43,70.6,43,397,0,,Not Available,11,As Expected,29
392633,4,FRESENIUS KIDNEY CARE - ALTOONA,01/01/2016-12/31/2019,4,1,1602 NINTH AVENUE,,ALTOONA,PA,16602,BLAIR,Profit,Yes,FRESENIUS MEDICAL CARE,36,1,1,1,Worse than Expected,91,155,1372,169,1464,As Expected,As Expected,As Expected,107,125,436,19.8,29.5,193.4,Better than Expected,52.7,As Expected,154,73.3,154,1333,0,,Better than Expected,50,As Expected,105
392634,4,FRESENIUS KIDNEY CARE - CUMBERLAND COUNTY,01/01/2016-12/31/2019,2,1,254 EAST HIGH STREET,,CARLISLE,PA,17013,CUMBERLAND,Profit,Yes,FRESENIUS MEDICAL CARE,16,1,1,1,As Expected,26,48,326,54,360,As Expected,As Expected,As Expected,41,38,197,22.8,35.4,201.6,As Expected,0,As Expected,56,52.5,56,370,0,,Not Available,18,As Expected,37
392635,4,DAVITA WYNCOTE DIALYSIS,01/01/2016-12/31/2019,5,1,CEDARBROOK PLAZA,"1000 EASTON ROAD, SUITE 250",WYNCOTE,PA,19095,MONTGOMERY,Profit,Yes,DAVITA,24,1,0,0,As Expected,85,129,1189,136,1263,As Expected,Worse than Expected,As Expected,97,118,403,18.6,41.3,205.4,As Expected,12.3,As Expected,136,65.2,136,1265,0,,As Expected,26,As Expected,98
392751,4,DAVITA BLOOMFIELD-PITTSBURGH DIALYSIS,01/01/2016-12/31/2019,4,1,"5171 LIBERTY AVENUE, SUITE C",,PITTSBURGH,PA,15224,ALLEGHENY,Profit,Yes,DAVITA,24,1,1,0,As Expected,69,120,1116,124,1153,As Expected,As Expected,As Expected,82,122,356,19.5,30.9,171.1,Better than Expected,29.3,As Expected,123,68,123,1136,0,,As Expected,39,As Expected,94
312686,3,FKC BELLEVILLE,01/01/2016-12/31/2019,4,1,36 NEWARK AVENUE SUITE 304,,BELLEVILLE,NJ,7109,,Profit,Yes,FRESENIUS MEDICAL CARE,16,1,0,0,As Expected,31,60,451,71,514,As Expected,As Expected,Better than Expected,42,61,49,3.7,33.8,185,As Expected,35.6,As Expected,71,63,71,513,0,,Not Available,9,As Expected,59
312687,3,FKC BAYONNE,01/01/2016-12/31/2019,5,1,DIALYSIS UNIT,29 EAST 29TH STREET,BAYONNE,NJ,7002,,Profit,Yes,FRESENIUS MEDICAL CARE,14,1,0,0,As Expected,48,79,642,82,677,As Expected,As Expected,As Expected,62,63,113,24,22.4,161,As Expected,16.5,As Expected,81,68.6,81,672,0,,Not Available,5,As Expected,71
312688,3,FKC BOARDWALK,01/01/2016-12/31/2019,4,1,DIALYSIS UNIT,1925 PACIFIC AVENUE,ATLANTIC CITY,NJ,8401,,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,37,58,580,58,583,As Expected,Better than Expected,As Expected,43,40,77,14.3,11.8,115.3,As Expected,25.8,As Expected,59,48.5,59,598,0,,Not Available,1,As Expected,50
312689,3,FKC SECAUCUS,01/01/2016-12/31/2019,3,1,200 MEADOWSLANDS PARKWAY,SUITE 200A,SECAUCUS,NJ,7094,,Profit,Yes,FRESENIUS MEDICAL CARE,19,1,0,0,Not Available,18,25,163,32,191,As Expected,As Expected,Not Available,21,22,21,,16.5,179.3,As Expected,,As Expected,33,68.7,33,202,0,,Not Available,0,As Expected,17
312690,3,ARA DIALYSIS AT EAST ORANGE,01/01/2016-12/31/2019,5,1,20 SUSSEX AVE,,EAST ORANGE,NJ,7018,,Profit,Yes,AMERICAN RENAL ASSOCIATES,18,1,0,0,Not Available,15,22,118,27,140,As Expected,As Expected,Not Available,17,25,17,,18.9,217.7,Not Available,,As Expected,26,75.6,26,139,0,,Not Available,1,As Expected,18
312691,3,DAVITA PARSIPPANY DIALYSIS,01/01/2016-12/31/2019,,260,900 LANIDEX PLAZA,SUITE 120,PARSIPPANY,NJ,7054,,Profit,Yes,DAVITA,10,1,1,0,Not Available,11,20,85,23,111,Not Available,Not Available,Not Available,14,6,14,,,,Not Available,,As Expected,21,75.7,21,106,0,,Not Available,0,As Expected,12
382555,16,PNRS ST HELENS DIALYSIS,01/01/2016-12/31/2019,5,1,500 N COLUMBIA RIVER HWY STE 510,,SAINT HELENS,OR,97051,COLUMBIA,Profit,Yes,FRESENIUS MEDICAL CARE,13,1,0,0,As Expected,25,47,408,53,423,As Expected,As Expected,As Expected,35,35,116,15.7,30.1,172.9,As Expected,7.9,As Expected,52,58.4,52,418,0,,Not Available,13,As Expected,50
382556,16,FMC WEST SALEM,01/01/2016-12/31/2019,5,1,1060 2ND ST NW,,SALEM,OR,97304,POLK,Profit,Yes,FRESENIUS MEDICAL CARE,13,1,0,0,As Expected,43,70,670,73,678,As Expected,As Expected,Better than Expected,52,49,188,14.1,19.2,166,Better than Expected,9.3,As Expected,74,71.1,74,688,0,,Not Available,20,As Expected,53
382557,16,DAVITA KLAMATH FALLS DIALYSIS,01/01/2016-12/31/2019,4,1,2421 WASHBURN WAY SUITE B,,KLAMATH FALLS,OR,97603,KLAMATH,Profit,Yes,DAVITA,17,1,0,0,As Expected,52,82,700,88,726,As Expected,As Expected,As Expected,62,51,244,28.9,23.1,138.4,As Expected,13,As Expected,85,55.9,85,733,0,,As Expected,36,As Expected,74
382558,16,DAVITA MCMINNVILLE DIALYSIS,01/01/2016-12/31/2019,3,1,200 NE NORTON LANE,,MCMINNVILLE,OR,97128,YAMHILL,Profit,Yes,DAVITA,12,1,1,0,As Expected,56,79,688,79,685,As Expected,As Expected,As Expected,62,63,252,23.1,30.6,177.6,As Expected,15.3,As Expected,57,63.2,57,495,0,,As Expected,27,As Expected,62
382559,16,DAVITA CORNELL ROAD DIALYSIS,01/01/2016-12/31/2019,5,1,1700 NW 167TH PL STE 230,,BEAVERTON,OR,97006,WASHINGTON,Profit,Yes,DAVITA,16,1,0,0,As Expected,34,65,606,67,626,As Expected,As Expected,As Expected,37,27,138,29.6,30,166.7,As Expected,8.4,As Expected,67,67.7,67,627,0,,Not Available,22,As Expected,57
392732,4,LIBERTY DIALYSIS - FRIENDSHIP RIDGE,01/01/2016-12/31/2019,1,1,246 FRIENDSHIP CIRCLE,,BEAVER,PA,15009,BEAVER,Profit,Yes,FRESENIUS MEDICAL CARE,6,1,0,0,Not Available,10,25,175,23,171,As Expected,As Expected,Worse than Expected,16,11,90,38.7,15.8,88.6,As Expected,,As Expected,25,38.4,25,183,0,,Not Available,1,Not Available,2
392733,4,LIBERTY DIALYSIS - CHIPPEWA,01/01/2016-12/31/2019,3,1,100 PAPPAN BUSINESS DRIVE,,BEAVER FALLS,PA,15010,BEAVER,Profit,Yes,FRESENIUS MEDICAL CARE,30,1,0,0,As Expected,50,86,680,87,694,As Expected,As Expected,As Expected,60,78,288,21.1,30.3,236.3,As Expected,41.4,As Expected,88,58.8,88,698,0,,As Expected,36,As Expected,50
392734,4,FRESENIUS KIDNEY CARE - MURRYSVILLE,01/01/2016-12/31/2019,3,1,20 WESCO LANE,,EXPORT,PA,15632,WESTMORELAND,Profit,Yes,FRESENIUS MEDICAL CARE,13,1,1,1,As Expected,33,60,471,59,474,As Expected,As Expected,As Expected,41,56,162,23.8,27.7,252.2,As Expected,6.6,As Expected,49,71.2,49,401,0,,Not Available,15,As Expected,47
392735,4,BRISTOL DIALYSIS LLC,01/01/2016-12/31/2019,3,1,1900 FROST ROAD,,BRISTOL,PA,19007,BUCKS,Profit,Yes,AMERICAN RENAL ASSOCIATES,20,1,1,0,Worse than Expected,54,83,812,87,833,As Expected,As Expected,As Expected,69,109,268,21.4,32,206,As Expected,68.5,As Expected,84,61.2,84,799,0,,As Expected,42,As Expected,68
392822,4,DAVITA MILLCREEK DIALYSIS,01/01/2016-12/31/2019,3,1,2042 EDINBORO RD,,ERIE,PA,16509,ERIE,Profit,Yes,DAVITA,17,1,0,0,As Expected,50,72,567,82,621,As Expected,As Expected,As Expected,57,72,221,29.2,35,161.4,As Expected,9,As Expected,77,63.3,77,619,0,,Not Available,21,As Expected,44
332584,2,UNIV DIALYSIS CTR @ AUBURN,01/01/2016-12/31/2019,5,1,21 NELSON STREET,,AUBURN,NY,13021,CAYUGA,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",13,1,0,0,As Expected,31,47,388,56,426,As Expected,As Expected,As Expected,45,54,176,23.2,17.9,146.8,As Expected,0,As Expected,54,67.3,54,424,0,,Not Available,11,As Expected,39
332585,2,"NEW YORK DIALYSIS SERVICES, INC.",01/01/2016-12/31/2019,5,1,120 VICTOR HEIGHTS PARKWAY,,VICTOR,NY,14564,ONTARIO,Profit,Yes,FRESENIUS MEDICAL CARE,17,1,1,1,As Expected,42,70,657,69,681,As Expected,Better than Expected,As Expected,63,41,246,16.4,10.2,114.2,As Expected,0,As Expected,70,73.7,70,683,0,,Not Available,25,As Expected,53
332586,2,FMS-AMSTERDAM DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,1810 RIVERFRONT CENTER,,AMSTERDAM,NY,12010,MONTGOMERY,Profit,Yes,FRESENIUS MEDICAL CARE,16,1,1,1,As Expected,43,64,576,65,592,As Expected,As Expected,As Expected,51,57,243,23.6,30.6,201.6,As Expected,16.4,As Expected,53,63,53,462,0,,Not Available,25,As Expected,54
332587,2,SPRINGFIELD DIALYSIS CENTER,01/01/2016-12/31/2019,4,1,134-35 SPRINGFIELD BOULEVARD,,JAMAICA,NY,11413,QUEENS,Profit,No,INDEPENDENT,24,1,0,0,As Expected,100,161,1614,168,1639,As Expected,As Expected,As Expected,121,146,488,20.1,33.2,246.5,Better than Expected,36.6,Better than Expected,167,77.7,167,1658,0,,As Expected,61,As Expected,126
332694,2,ROCKAWAY HD LLC,01/01/2016-12/31/2019,1,1,529 BEACH 20TH STREET,,FAR ROCKAWAY,NY,11691,QUEENS,Profit,No,INDEPENDENT,16,1,0,1,As Expected,55,90,826,83,734,As Expected,As Expected,Worse than Expected,64,93,252,31.1,28.1,218.9,Not Available,42.4,As Expected,90,66,90,809,0,,Worse than Expected,37,As Expected,52
332695,2,WORKMEN'S CIRCLE DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,3155 GRACE AVENUE,,BRONX,NY,10469,BRONX,Non-Profit,No,INDEPENDENT,21,1,0,0,As Expected,154,224,1428,257,1572,As Expected,As Expected,As Expected,205,305,624,24.9,28.8,191.7,Not Available,22.8,As Expected,250,69.8,250,1554,0,,Not Available,47,As Expected,67
332379,2,MARJORIE BASSER DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,ST. JOHN'S EPISCOPAL HOSPITAL,"327 BEACH 19TH STREET, DIALYSIS UNIT",FAR ROCKAWAY,NY,11691,QUEENS,Profit,No,INDEPENDENT,15,1,0,0,As Expected,75,117,1095,118,1114,As Expected,As Expected,As Expected,81,86,363,28,23.4,179,As Expected,15.2,As Expected,121,70.5,121,1148,0,,As Expected,46,As Expected,91
332388,2,S. NASSAU COMMUNITIES HOSP.,01/01/2016-12/31/2019,,260,1 HEALTHY WAY,DIALYSIS - ACUTE UNIT,OCEANSIDE,NY,11572,NASSAU,Non-Profit,No,INDEPENDENT,3,1,1,0,Not Available,3,6,44,6,48,Not Available,Not Available,Not Available,5,8,16,,,,Not Available,,Not Available,6,,6,50,0,,Not Available,0,As Expected,12
332390,2,UNITY HOSPITAL OF ROCHESTER - PARK RIDGE CAMPUS,01/01/2016-12/31/2019,5,1,1555 LONG POND ROAD,,ROCHESTER,NY,14626,MONROE,Non-Profit,No,INDEPENDENT,24,1,1,0,As Expected,121,180,1648,192,1713,As Expected,Better than Expected,As Expected,147,161,624,19.9,19,181.8,Not Available,10.3,As Expected,154,65.2,154,1431,0,,Better than Expected,59,As Expected,123
332393,2,GENEVA GENERAL HOSPITAL,01/01/2016-12/31/2019,2,1,196 NORTH STREET,DIALYSIS UNIT,GENEVA,NY,14456,ONTARIO,Non-Profit,No,INDEPENDENT,13,1,1,0,As Expected,49,66,633,70,654,As Expected,As Expected,As Expected,54,81,213,24.1,36,170.9,As Expected,2.6,As Expected,69,55.6,69,630,0,,As Expected,26,As Expected,49
332394,2,LINCOLN HOSPITAL,01/01/2016-12/31/2019,5,1,234 EAST 149TH STREET,HEMODIALYSIS UNIT,BRONX,NY,10451,BRONX,Non-Profit,No,INDEPENDENT,8,1,0,0,Not Available,12,43,442,46,453,As Expected,As Expected,As Expected,14,20,50,14.5,15.5,252.5,As Expected,,As Expected,47,68.9,47,464,0,,As Expected,19,As Expected,41
382560,16,FMC NEWPORT OREGON,01/01/2016-12/31/2019,4,1,957 SW COAST HWY,,NEWPORT,OR,97365,LINCOLN,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,49,52,389,51,408,As Expected,As Expected,Better than Expected,54,26,221,14.1,11.8,98,Better than Expected,23,As Expected,51,60.3,51,412,0,,Not Available,23,As Expected,50
392580,4,DAVITA CORRY DIALYSIS,01/01/2016-12/31/2019,5,1,300 YORK STREET,,CORRY,PA,16407,ERIE,Profit,Yes,DAVITA,12,1,1,0,As Expected,27,37,332,43,351,As Expected,As Expected,As Expected,29,28,119,13.7,14,129.7,As Expected,33.8,As Expected,43,74.4,43,354,0,,Not Available,20,As Expected,26
392581,4,DCI NORTH HILLS,01/01/2016-12/31/2019,3,1,3412 BABCOCK BOULEVARD,,PITTSBURGH,PA,15237,ALLEGHENY,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",21,1,1,0,As Expected,55,97,764,101,799,As Expected,As Expected,As Expected,69,77,276,25.3,24,205.4,As Expected,32.5,As Expected,86,64,86,673,0,,Not Available,28,As Expected,65
392582,4,DAVITA HONESDALE DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,STOURSBRIDGE MALL,"600 MAPLE AVENUE, SUITE 8",HONESDALE,PA,18431,WAYNE,Profit,Yes,DAVITA,12,1,1,0,As Expected,44,53,416,55,439,As Expected,As Expected,As Expected,52,36,209,21.5,27.3,131.4,Better than Expected,4.2,As Expected,57,53,57,440,0,,Not Available,14,As Expected,40
392584,4,DAVITA PALMERTON DIALYSIS CENTER,01/01/2016-12/31/2019,4,1,185-C DELAWARE AVENUE,,PALMERTON,PA,18071,CARBON,Profit,Yes,DAVITA,10,1,1,1,As Expected,43,61,528,64,557,As Expected,As Expected,As Expected,52,72,208,19,23.4,177.3,As Expected,29.4,As Expected,62,66.9,62,532,0,,As Expected,29,As Expected,47
